flightNumber,plane,dep_date,dep_time,dep_airport_name,dep_airport_code,dep_terminal,dep_status,dep_weather_min,dep_weather_max,dep_weather_desc,dep_counter,dep_door,arr_date,arr_time,arr_airport_name,arr_airport_code,arr_terminal,arr_status,arr_weather_min,arr_weather_max,arr_weather_desc,arr_room,arr_belt,dep_status_time,arr_status_time,new_dep_status,new_arr_status,time_difference,time_difference_minutes,dep_delayed,arr_delayed,delayed
VLG1303, 32A,13/04/18,08:35,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 09:04,11,18,Nubosidad variable,10 - 16,C43,13/04/18,09:45,BARCELONA-EL PRAT,BCN,T1,El vuelo ha aterrizado a las 10:03,12,17,Lluvia moderada,T1_G,08,2025-02-10 09:04:00,2025-02-10 10:03:00,Despego,Aterrizo,0 days 00:59:00,59.0,1,1,1
AEA4025, ATR-72,13/04/18,08:35,ALICANTE-ELCHE,ALC,N,El vuelo ha despegado a las 08:33,11,18,Nubosidad variable,90 - 91,C42,13/04/18,09:45,PALMA DE MALLORCA,PMI,N,El vuelo ha aterrizado a las 09:35,12,17,Lluvia,NT,12,2025-02-10 08:33:00,2025-02-10 09:35:00,Despego,Aterrizo,0 days 01:02:00,62.0,0,0,0
IBE0514, AIRBUS A319,13/04/18,07:30,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 07:30,6,14,Chubascos dispersos,810 - 859,H28,13/04/18,08:45,A CORUÑA,LCG,-,El vuelo ha aterrizado a las 08:46,10,15,Chubascos dispersos,S1,2,2025-02-10 07:30:00,2025-02-10 08:46:00,Despego,Aterrizo,0 days 01:16:00,76.0,0,1,0
VLG3935, AIRBUS A320,13/04/18,08:40,PALMA DE MALLORCA,PMI,N,El vuelo ha despegado a las 08:36,12,17,Lluvia,058 - 060,D88,13/04/18,09:45,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 09:35,11,18,Nubosidad variable,NT1,10A,2025-02-10 08:36:00,2025-02-10 09:35:00,Despego,Aterrizo,0 days 00:59:00,59.0,0,0,0
VLG1312, AIRBUS A320,13/04/18,08:55,BARCELONA-EL PRAT,BCN,T1,El vuelo ha despegado a las 08:47,12,17,Lluvia moderada,501 - 514,B47,13/04/18,10:05,ALICANTE-ELCHE,ALC,N,El vuelo ha aterrizado a las 09:50,11,18,Nubosidad variable,NT1,9B,2025-02-10 08:47:00,2025-02-10 09:50:00,Despego,Aterrizo,0 days 01:03:00,63.0,0,0,0
IBE8931, CANADAIR CRJ-200,13/04/18,08:40,SEVILLA,SVQ,1,The flight took off at 08:35,8,17,Lluvia,M18 - M20,K2,13/04/18,09:35,ALMERIA,LEI,1,The flight landed at 09:19,8,17,Chubascos dispersos,1,1,2025-02-10 08:35:00,2025-02-10 09:19:00,Despego,Aterrizo,0 days 00:44:00,44.0,0,0,0
IBE8594, BOMBARDIER CRJ-1000,13/04/18,09:00,MADRID-BARAJAS ADOLFO SUÁREZ,MAD,4,El vuelo ha despegado a las 09:00,6,14,Chubascos dispersos,810 - 859,K95,13/04/18,10:10,ALMERIA,LEI,1,El vuelo ha aterrizado a las 10:09,8,17,Chubascos dispersos,1,1,2025-02-10 09:00:00,2025-02-10 10:09:00,Despego,Aterrizo,0 days 01:09:00,69.0,0,0,0
IBB604, ATR-42/72,13/04/18,08:00,LA PALMA,SPC,N,El vuelo ha despegado a las 08:00,16,21,Cubierto de nubes altas y medias,01 - 02,5,13/04/18,08:30,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 08:34,17,22,Nubosidad variable,1,3,2025-02-10 08:00:00,2025-02-10 08:34:00,Despego,Aterrizo,0 days 00:34:00,34.0,0,1,0
IBB606, ATR-72,13/04/18,08:30,LA PALMA,SPC,N,El vuelo ha despegado a las 08:28,16,21,Cubierto de nubes altas y medias,01 - 02,4,13/04/18,09:00,TENERIFE NORTE,TFN,1,El vuelo ha aterrizado a las 09:00,17,22,Nubosidad variable,1,3,2025-02-10 08:28:00,2025-02-10 09:00:00,Despego,Aterrizo,0 days 00:32:00,32.0,0,0,0
IBB304, ATR-42/72,13/04/18,08:40,LA PALMA,SPC,N,El vuelo ha despegado a las 08:36,16,21,Cubierto de nubes altas y medias,01 - 02,6,13/04/18,09:30,GRAN CANARIA,LPA,-,El vuelo ha aterrizado a las 09:21,16,21,Cubierto de nubes altas y medias,01,12,2025-02-10 08:36:00,2025-02-10 09:21:00,Despego,Aterrizo,0 days 00:45:00,45.0,0,0,0
